,pokemon_nome,pokemon_altura,pokemon_peso,pokemon_cor_pokedex,pokemon_evolucao,pokemon_tipo,Dano
881.0,Arctozolt,7'072.3 m,330.7 lbs.150.0 kg,Blue,[],"['Electric', 'Ice']","{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*1', 'Fairy': '*1'}"
879.0,Copperajah,9'103.0 m,1433.0 lbs.650.0 kg,Green,['Gigantamax Copperajah'],['Steel'],"{'Normal': '*0.5', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.5', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*0.5', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
877.0,Morpeko,,,,[],"['Electric', 'Dark']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*0.5', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*0.5', 'Fairy': '*2'}"
876.0,Indeedee,2'110.9 m,61.7 lbs.28.0 kg,Purple,[],"['Psychic', 'Normal']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0.5', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
875.0,Eiscue,,,,[],['Ice'],"{'Normal': '*1', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*2', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
874.0,Stonjourner,,,,[],['Rock'],"{'Normal': '*0.5', 'Fire': '*0.5', 'Water': '*2', 'Electric': '*1', 'Grass': '*2', 'Ice': '*1', 'Fighting': '*2', 'Poison': '*0.5', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
873.0,Frosmoth,4'031.3 m,92.6 lbs.42.0 kg,White,[],"['Ice', 'Bug']","{'Normal': '*1', 'Fire': '*4', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*4', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
872.0,Snom,1'000.3 m,8.4 lbs.3.8 kg,White,['Frosmoth'],"['Ice', 'Bug']","{'Normal': '*1', 'Fire': '*4', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*0.5', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*4', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
871.0,Pincurchin,1'000.3 m,2.2 lbs.1.0 kg,Purple,[],['Electric'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
870.0,Falinks,9'103.0 m,136.7 lbs.62.0 kg,Yellow,[],['Fighting'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*2'}"
869.0,Alcremie,1'000.3 m,1.1 lbs.0.5 kg,White,"['Gigantamax Alcremie', 'Strawberry Sweet', 'Berry Sweet', 'Love Sweet', 'Star Sweet', 'Clover Sweet', 'Flower Sweet', 'Ribbon Sweet', 'Learn as Milcery']",['Fairy'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
868.0,Milcery,0'080.2 m,0.7 lbs.0.3 kg,White,"['Alcremie', 'Gigantamax Alcremie']",['Fairy'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*0', 'Dark': '*0.5', 'Steel': '*2', 'Fairy': '*1'}"
867.0,Runerigus,,,,"['yamask', 'cofagrigus', 'runerigus']","['Ground', 'Ghost']","{'Normal': '*0', 'Fire': '*1', 'Water': '*2', 'Electric': '*0', 'Grass': '*2', 'Ice': '*2', 'Fighting': '*0', 'Poison': '*0.25', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
864.0,Cursola,3'031.0 m,0.9 lbs.0.4 kg,White,"['corsola', 'cursola']",['Ghost'],"{'Normal': '*0', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
863.0,Perrserker,2'070.8 m,61.7 lbs.28.0 kg,Brown,['Gigantamax Meowth'],['Steel'],"{'Normal': '*0.5', 'Fire': '*2', 'Water': '*1', 'Electric': '*1', 'Grass': '*0.5', 'Ice': '*0.5', 'Fighting': '*2', 'Poison': '*0', 'Ground': '*2', 'Flying': '*0.5', 'Psychic': '*0.5', 'Bug': '*0.5', 'Rock': '*0.5', 'Ghost': '*1', 'Dragon': '*0.5', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
862.0,Obstagoon,5'031.6 m,101.4 lbs.46.0 kg,Gray,"['zigzagoon', 'linoone', 'obstagoon']","['Dark', 'Normal']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*4', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*0', 'Dragon': '*1', 'Dark': '*0.5', 'Steel': '*1', 'Fairy': '*2'}"
861.0,Grimmsnarl,4'111.5 m,134.5 lbs.61.0 kg,Purple,['Gigantamax Grimmsnarl'],"['Dark', 'Fairy']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0.5', 'Dragon': '*0', 'Dark': '*0.25', 'Steel': '*2', 'Fairy': '*2'}"
860.0,Morgrem,2'070.8 m,27.6 lbs.12.5 kg,Pink,"['Grimmsnarl', 'Gigantamax Grimmsnarl']","['Dark', 'Fairy']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0.5', 'Dragon': '*0', 'Dark': '*0.25', 'Steel': '*2', 'Fairy': '*2'}"
859.0,Impidimp,1'040.4 m,12.1 lbs.5.5 kg,Pink,"['Morgrem', 'Grimmsnarl', 'Gigantamax Grimmsnarl']","['Dark', 'Fairy']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*1', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*0.5', 'Dragon': '*0', 'Dark': '*0.25', 'Steel': '*2', 'Fairy': '*2'}"
858.0,Hatterene,6'112.1 m,11.2 lbs.5.1 kg,Pink,['Gigantamax Hatterene'],"['Psychic', 'Fairy']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.25', 'Poison': '*2', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0.5', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*0', 'Dark': '*1', 'Steel': '*2', 'Fairy': '*1'}"
856.0,Hatenna,1'040.4 m,7.5 lbs.3.4 kg,Pink,"['Hattrem', 'Hatterene', 'Gigantamax Hatterene']",['Psychic'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0.5', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
857.0,Hattrem,2'000.6 m,10.6 lbs.4.8 kg,Pink,"['Hatterene', 'Gigantamax Hatterene']",['Psychic'],"{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*0.5', 'Bug': '*2', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
855.0,Polteageist,0'080.2 m,0.9 lbs.0.4 kg,Purple,"['sinistea', 'polteageist']",['Ghost'],"{'Normal': '*0', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
854.0,Sinistea,0'040.1 m,0.4 lbs.0.2 kg,Purple,"['sinistea', 'polteageist']",['Ghost'],"{'Normal': '*0', 'Fire': '*1', 'Water': '*1', 'Electric': '*1', 'Grass': '*1', 'Ice': '*1', 'Fighting': '*0', 'Poison': '*0.5', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*2', 'Dragon': '*1', 'Dark': '*2', 'Steel': '*1', 'Fairy': '*1'}"
851.0,Centiskorch,9'103.0 m,264.6 lbs.120.0 kg,Red,"['Gigantamax Centiskorch', 'Learn as Sizzlipede']","['Fire', 'Bug']","{'Normal': '*1', 'Fire': '*1', 'Water': '*2', 'Electric': '*1', 'Grass': '*0.25', 'Ice': '*0.5', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*4', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
850.0,Sizzlipede,2'040.7 m,2.2 lbs.1.0 kg,Red,"['Centiskorch', 'Gigantamax Centiskorch']","['Fire', 'Bug']","{'Normal': '*1', 'Fire': '*1', 'Water': '*2', 'Electric': '*1', 'Grass': '*0.25', 'Ice': '*0.5', 'Fighting': '*0.5', 'Poison': '*1', 'Ground': '*1', 'Flying': '*2', 'Psychic': '*1', 'Bug': '*0.5', 'Rock': '*4', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
849.0,Toxtricity,5'031.6 m,88.2 lbs.40.0 kg,Purple,['Gigantamax Toxtricity'],"['Electric', 'Poison']","{'Normal': '*1', 'Fire': '*1', 'Water': '*1', 'Electric': '*0.5', 'Grass': '*0.5', 'Ice': '*1', 'Fighting': '*0.5', 'Poison': '*0.5', 'Ground': '*4', 'Flying': '*0.5', 'Psychic': '*2', 'Bug': '*0.5', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*0.5'}"
847.0,Barraskewda,4'031.3 m,66.1 lbs.30.0 kg,Brown,[],['Water'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*2', 'Grass': '*2', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
846.0,Arrokuda,1'080.5 m,2.2 lbs.1.0 kg,Brown,['Barraskewda'],['Water'],"{'Normal': '*1', 'Fire': '*0.5', 'Water': '*0.5', 'Electric': '*2', 'Grass': '*2', 'Ice': '*0.5', 'Fighting': '*1', 'Poison': '*1', 'Ground': '*1', 'Flying': '*1', 'Psychic': '*1', 'Bug': '*1', 'Rock': '*1', 'Ghost': '*1', 'Dragon': '*1', 'Dark': '*1', 'Steel': '*0.5', 'Fairy': '*1'}"
